Full Name,Name,Asset Type,Domain,Community,Status,Definition,Acronym,Example,Owner,Classification Notes
Open Source Intelligence,Open Source Intelligence,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Intelligence derived from publicly available information that is collected, processed, and used under applicable policy and law.",OSINT,"Public weather alerts and media reports used in a crisis brief",OSINT Governance Council,"Use does not remove privacy, licensing, or policy obligations"
Publicly Available Information,Publicly Available Information,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Information that has been published or broadcast for public access, made available by request, or otherwise lawfully accessible to the public.",PAI,"A public port authority disruption bulletin",Legal and Policy Office,"Public availability does not imply unrestricted reuse"
Source Reliability Score,Source Reliability Score,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"A steward-reviewed score representing historical accuracy, timeliness, correction history, and corroboration behavior for a source.",SRS,"An official bulletin source has SRS 96",Data Stewardship Office,"Internal tradecraft indicator"
Corroboration Count,Corroboration Count,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Number of independent source families supporting the same event or signal.",,"Three unrelated public sources report a port closure",OSINT Analytics Office,"Higher count improves confidence but does not guarantee truth"
Analytic Confidence,Analytic Confidence,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Assessment of how strongly available evidence supports an analytic judgment.",,"High confidence that a road closure is active",OSINT Analytics Office,"Should be explainable through provenance and source quality"
Mission Purpose,Mission Purpose,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Documented reason for requesting and using a data product.",,"Regional infrastructure disruption brief",Mission Governance Office,"Required for approval and audit"
Handling Caveat,Handling Caveat,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Use restriction or instruction attached to a data asset or product.",,"Aggregated use only; no individual profiling",Legal and Policy Office,"Must be visible before access"
Purpose Limitation,Purpose Limitation,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Requirement that data be used only for the stated and approved purpose.",,"Use approved for crisis brief, not unrelated investigations",Privacy Office,"Core privacy and governance control"
License Restriction,License Restriction,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Limit imposed by source terms, contract, or policy on redistribution, citation, retention, or use.",,"Article metadata may be stored, but full text may not be redistributed",Legal and Policy Office,"Track at asset and field level"
Source Citation,Source Citation,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Reference back to the originating public source or approved source registry entry.",,"SRC-001 Port Authority Bulletin",OSINT Governance Council,"Supports auditability and analytic transparency"
Aggregation Level,Aggregation Level,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Spatial, temporal, or logical level at which records are summarized.",,"10 km grid by day",Privacy Office,"Higher aggregation can reduce privacy risk"
No Raw Personal Data,No Raw Personal Data,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Classification indicating that the product excludes raw person-level records and direct personal identifiers.",,"Aggregated regional event counts",Privacy Office,"Still review derived inferences"
Sensitive Analytic Inference,Sensitive Analytic Inference,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Governance flag for outputs that may reveal conclusions, risk judgments, or patterns requiring review even when input data is public.",,"Narrative influence trend by region",Legal and Policy Office,"Often requires purpose and audience controls"
Data Product,Data Product,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Packaged, reusable data asset with context, owner, quality expectations, access method, and usage guidance.",,"Public Infrastructure Event Feed - Curated",Data Product Office,"Marketplace-ready when ownership and controls are complete"
Lineage,Lineage,Business Term,OSINT Business Glossary,Open Source Intelligence Demo,Accepted,"Trace of how data moves from sources through transformations to consumption.",,"Source Registry -> Ingestion -> Review -> Curated Feed",Data Governance Office,"Essential for trust and audit"
